AQC00914000 -14.3167 -170.7667  408.4 AS AASUFOU                                      TRADITIONAL  
AQW00061705 -14.3306 -170.7136    3.7 AS PAGO PAGO WSO AP               GSN     91765 TRADITIONAL  
USC00482399  44.8728 -107.2658 1203.4 WY DAYTON                                       TRADITIONAL  
USC00482415  44.8919 -108.5931 1251.2 WY DEAVER                                       TRADITIONAL  
USC00482466  44.5833 -104.7147 1177.1 WY DEVILS TWR #2                                TRADITIONAL  
USC00482580  44.0992 -105.1175 1313.7 WY DILLINGER                                    TRADITIONAL  
USC00482595  43.2281 -108.9489 1699.3 WY DIVERSION DAM                      HCN       TRADITIONAL  
USC00482680  42.1794 -105.4017 1865.4 WY DOUBLE FOUR RCH                              TRADITIONAL  
USC00482685  42.7467 -105.3603 1484.4 WY DOUGLAS 1 SE                                 TRADITIONAL  
USC00482715  43.5397 -109.6553 2119.9 WY DUBOIS                             HCN       TRADITIONAL  
USC00482725  43.4117 -104.9614 1345.7 WY DULL CTR 1SE                                 TRADITIONAL  
USC00482881  44.4828 -105.8992 1219.2 WY ECHETA 2 NW                                  TRADITIONAL  
USC00482995  41.6878 -106.4136 2214.4 WY ELK MTN                                      TRADITIONAL  
USC00483031  44.4972 -108.3906 1355.8 WY EMBLEM                                       TRADITIONAL  
USC00483045  41.1833 -106.6167 2250.9 WY ENCAMPMENT 10 ESE                            TRADITIONAL  
USC00483100  41.2650 -110.9508 2080.3 WY EVANSTON 1 E                       HCN       TRADITIONAL  
USC00483170  42.1867 -109.4453 2034.5 WY FARSON 5N                                    PSEUDONORMALS
USC00483396  41.8183 -110.0564 1975.1 WY FONTENELLE DAM                               TRADITIONAL  
USC00483582  41.8367 -110.7703 2066.5 WY FOSSIL BUTTE                                 PSEUDONORMALS
USC00483855  44.2644 -105.4919 1414.3 WY GILLETTE 4SE                                 TRADITIONAL  
USC00483936  42.5283 -104.9153 1444.4 WY GLENDO 6NE                                   PSEUDONORMALS
USC00483950  42.8267 -105.7878 1508.2 WY GLENROCK 5 ESE                               TRADITIONAL  
USC00484065  41.5167 -109.4703 1869.3 WY GREEN RIVER                        HCN       TRADITIONAL  
USC00484080  44.4908 -108.0411 1176.5 WY GREYBULL                                     TRADITIONAL  
USC00484411  44.7053 -108.9558 1460.0 WY HEART MTN                                    TRADITIONAL  
USC00484442  41.1500 -105.1667 2039.1 WY HECLA 1E                                     TRADITIONAL  
USC00484760  44.6856 -104.6028 1145.4 WY HULETT                                       TRADITIONAL  
USC00484910  43.4836 -110.7594 1898.9 WY JACKSON                                      TRADITIONAL  
USC00484925  42.4942 -107.8292 1926.3 WY JEFFREY CITY                                 TRADITIONAL  
USC00485055  43.7144 -106.6375 1420.4 WY KAYCEE                                       TRADITIONAL  
USC00485105  41.8167 -110.5333 2111.0 WY KEMMERER 2 N                                 TRADITIONAL  
USC00485252  42.2644 -110.1950 2011.1 WY LA BARGE                                     TRADITIONAL  
USC00485260  41.6378 -104.1669 1399.0 WY LA GRANGE                                    TRADITIONAL  
USC00485345  44.5619 -110.3986 2398.8 WY LAKE YELLOWSTONE                   HCN       TRADITIONAL  
USC00485374  43.1828 -104.6036 1281.4 WY LANCE CREEK 11NNE                            PSEUDONORMALS
USC00485392  42.8447 -108.7406 1621.5 WY LANDER 1 N                                   PSEUDONORMALS
USC00485435  41.3408 -105.6069 2176.3 WY LARAMIE 2 NW                                 TRADITIONAL  
USC00485506  44.8500 -106.2889 1268.0 WY LEITER 9N                                    TRADITIONAL  
USC00485525  42.1953 -106.8556 1839.5 WY LEO 6 SW                                     TRADITIONAL  
USC00485703  41.0547 -110.1542 2301.8 WY LONETREE #1                                  TRADITIONAL  
USC00485770  44.8375 -108.4042 1169.5 WY LOVELL                                       TRADITIONAL  
USC00485830  42.7506 -104.4811 1551.4 WY LUSK 2 SW                          HCN       TRADITIONAL  
USC00485833  42.9367 -104.0669 1260.7 WY LUSK 25NE                                    PSEUDONORMALS
USC00486120  41.8978 -106.2017 2013.2 WY MEDICINE BOW                                 TRADITIONAL  
USC00486195  43.4131 -106.2772 1481.3 WY MIDWEST                            HCN       TRADITIONAL  
USC00486428  43.6536 -110.7169 1964.1 WY MOOSE                                        TRADITIONAL  
USC00486440  43.8567 -110.5889 2072.0 WY MORAN 5WNW                         HCN       TRADITIONAL  
USC00486555  41.2708 -110.3306 2072.6 WY MTN VIEW                                     TRADITIONAL  
USC00486595  42.3628 -107.4444 1904.4 WY MUDDY GAP                                    TRADITIONAL  
USC00486660  43.8497 -104.1886 1315.2 WY NEWCASTLE                          HCN       TRADITIONAL  
USC00486845  44.4569 -110.8328 2243.3 WY OLD FAITHFUL                                 TRADITIONAL  
USC00486852  42.2058 -104.5561 1295.4 WY OLD FT LARAMIE                               TRADITIONAL  
USC00487105  42.4717 -106.8528 1803.8 WY PATHFINDER DAM                               PSEUDONORMALS
USC00487115  43.2458 -108.6942 1658.1 WY PAVILLION                          HCN       TRADITIONAL  
USC00487200  41.6264 -104.4936 1518.5 WY PHILLIPS                                     TRADITIONAL  
USC00487240  41.1722 -104.1583 1578.9 WY PINE BLUFFS 5W                     HCN       TRADITIONAL  
USC00487260  42.8747 -109.8592 2200.0 WY PINEDALE                           HCN       TRADITIONAL  
USC00487376  43.0350 -106.9883 1737.4 WY POWDER RIVER #2                              TRADITIONAL  
USC00487388  44.7764 -108.7592 1332.0 WY POWELL FLD STN                     HCN       TRADITIONAL  
USC00487473  44.1786 -107.9381 1225.3 WY RAIRDEN 2WSW                                 TRADITIONAL  
USC00487548  44.9086 -105.7364 1143.0 WY RECLUSE 11 NNW                               TRADITIONAL  
USC00487555  43.2450 -104.2881 1185.7 WY REDBIRD                                      TRADITIONAL  
USC00487760  43.0308 -108.3742 1510.3 WY RIVERTON                           HCN       TRADITIONAL  
USC00487810  43.6056 -104.9042 1370.4 WY ROCHELLE 3 E                                 TRADITIONAL  
USC00487847  41.5778 -109.2394 1911.1 WY ROCK SPRINGS FIRE DEPARTMENT                 PSEUDONORMALS
USC00487885  44.9917 -105.0472 1191.8 WY ROCKYPOINT 7NNE                              PSEUDONORMALS
USC00487955  41.8667 -111.0000 1892.8 WY SAGE 4 NNW                                   TRADITIONAL  
USC00487990  41.4528 -106.8053 2069.6 WY SARATOGA                           HCN       TRADITIONAL  
USC00488070  42.1569 -106.9153 2084.2 WY SEMINOE DAM                                  TRADITIONAL  
USC00488124  44.5478 -107.7633 1306.1 WY SHELL 1NE                                    TRADITIONAL  
USC00488160  44.8406 -106.8383 1143.0 WY SHERIDAN FLD STA                   HCN       TRADITIONAL  
USC00488192  42.3667 -106.1050 2150.4 WY SHIRLEY BASIN                                TRADITIONAL  
USC00488209  43.2372 -108.1097 1474.3 WY SHOSHONI                                     TRADITIONAL  
USC00488315  44.1333 -110.6658 2097.6 WY SNAKE RIVER                                  TRADITIONAL  
USC00488385  42.4667 -108.8000 2389.6 WY SOUTH PASS CITY                              PSEUDONORMALS
USC00488626  44.5772 -106.8969 1549.3 WY STORY                                        TRADITIONAL  
USC00488705  44.4125 -104.3606 1417.3 WY SUNDANCE                                     TRADITIONAL  
USC00488758  44.0761 -108.9547 1901.3 WY SUNSHINE 3NE                                 TRADITIONAL  
USC00488808  41.7644 -105.3750 1855.0 WY SYBILLE RSCH UNIT                            TRADITIONAL  
USC00488852  44.0647 -107.3819 1467.6 WY TENSLEEP 4NE                                 TRADITIONAL  
USC00488858  43.8111 -107.3650 1426.5 WY TENSLEEP 16SSE                               TRADITIONAL  
USC00488875  43.6483 -108.2036 1314.6 WY THERMOPOLIS                                  TRADITIONAL  
USC00488884  43.7536 -108.1436 1304.8 WY THERMOPOLIS 9NE                              TRADITIONAL  
USC00488888  43.7125 -108.6964 1735.8 WY THERMOPOLIS 25WNW                            TRADITIONAL  
USC00488995  42.0803 -104.2236 1249.1 WY TORRINGTON EXP FARM                HCN       TRADITIONAL  
USC00488997  42.4881 -104.1564 1481.3 WY TORRINGTON 29N                               TRADITIONAL  
USC00489025  44.9167 -110.4203 1909.9 WY TOWER FALLS                                  TRADITIONAL  
USC00489205  44.0928 -104.6114 1316.7 WY UPTON                                        TRADITIONAL  
USC00489207  43.9269 -104.7456 1456.9 WY UPTON 13 SW                                  TRADITIONAL  
USC00489208  44.1619 -104.3542 1594.1 WY UPTON 14ENE                                  PSEUDONORMALS
USC00489459  41.6667 -107.9667 2054.4 WY WAMSUTTER                                    TRADITIONAL  
USC00489467  44.4736 -109.4256 1719.1 WY WAPITI 1NE                                   TRADITIONAL  
USC00489580  44.6406 -105.3053 1074.4 WY WESTON 1 E                                   TRADITIONAL  
USC00489604  42.2494 -104.6281 1308.8 WY WHALEN DAM USBR                              TRADITIONAL  
USC00489615  42.1106 -104.9492 1413.7 WY WHEATLAND 4 N                      HCN       TRADITIONAL  
USC00489770  44.0108 -107.9686 1237.5 WY WORLAND                            HCN       TRADITIONAL  
USC00489805  43.7472 -105.7331 1530.1 WY WRIGHT 12W                                   TRADITIONAL  
USC00489905  44.9767 -110.6964 1898.9 WY YELLOWSTONE PK MAMMOTH             HCN       TRADITIONAL  
USC00500243  60.9583 -149.1108   82.9 AK ALYESKA                                      TRADITIONAL  
USC00500275  61.1561 -149.9847   39.9 AK ANCHORAGE FRCST OFC                          TRADITIONAL  
USC00500279  61.1167 -149.7333  304.8 AK ANCHORAGE HILLSIDE                           PSEUDONORMALS
USC00500281  61.1025 -149.7169  406.9 AK ANCHORAGE UPPER DEARMOUN                     PSEUDONORMALS
USC00500302  61.6244 -149.3397  139.6 AK ANDERSON LAKE                                TRADITIONAL  
USC00500363  58.3183 -134.1003   28.0 AK ANNEX CREEK                                  PSEUDONORMALS
USC00500464  58.3814 -134.6450   13.4 AK AUKE BAY                                     TRADITIONAL  
USC00500490  64.8553 -147.7217  135.0 AK AURORA                                       PSEUDONORMALS
USC00500657  55.3800 -131.4683   10.7 AK BEAVER FALLS                                 TRADITIONAL  
USC00500707  61.5633 -149.1542   38.7 AK BENS FARM                                    TRADITIONAL  
USC00500788  60.8142 -152.2970   18.3 AK BIG RIVER LAKES                              TRADITIONAL  
USC00500832  56.1172 -132.9017    4.0 AK BLASHKE ISLAND                               PSEUDONORMALS
USC00501175  61.5836 -149.0056   75.0 AK BUTTE 3NNE                                   PSEUDONORMALS
USC00501180  61.5378 -149.0561   26.8 AK BUTTE 1W                                     PSEUDONORMALS
USC00501220  61.1639 -149.7778   78.6 AK CAMPBELL CREEK SCI CTR                       PSEUDONORMALS
USC00501240  61.0183 -147.5147   25.9 AK CANNERY CREEK                                TRADITIONAL  
USC00501243  63.3953 -148.8950  649.8 AK CANTWELL 2 E                                 TRADITIONAL  
USC00501244  63.3725 -148.8442  689.5 AK CANTWELL 4E                                  PSEUDONORMALS
USC00501466  65.5667 -144.7653  280.4 AK CENTRAL #2                                   PSEUDONORMALS
USC00501492  67.5111 -148.4925  577.6 AK CHANDALAR LAKE                               TRADITIONAL  
USC00501497  68.0781 -149.5647  990.6 AK CHANDALAR SHELF DOT                          PSEUDONORMALS
USC00501684  64.0917 -141.9211  548.6 AK CHICKEN                                      PSEUDONORMALS
USC00501926  62.8256 -149.9061  412.7 AK CHULITNA RIVER                               TRADITIONAL  
USC00501987  65.4861 -144.6364  262.1 AK CIRCLE HOT SPRINGS                           PSEUDONORMALS
USC00502107  64.8603 -147.8483  182.0 AK COLLEGE OBSY                                 TRADITIONAL  
USC00502112  64.9250 -147.8803  298.1 AK COLLEGE 5 NW                                 TRADITIONAL  
USC00502126  70.4322 -150.4094    1.5 AK COLVILLE VILLAGE                             TRADITIONAL  
USC00502173  60.5561 -145.7531    7.6 AK CORDOVA NORTH                                TRADITIONAL  
USC00502227  55.4772 -133.1408   13.1 AK CRAIG                                        PSEUDONORMALS
USC00502339  64.1172 -145.7511  322.8 AK DELTA 6N                                     PSEUDONORMALS
USC00502350  64.0839 -145.6136  323.1 AK DELTA 5 NE                                   TRADITIONAL  
USC00502352  63.9647 -145.1050  342.9 AK DELTA JUNCTION 20SE                          TRADITIONAL  
USC00502457  59.0500 -158.5167   26.2 AK DILLINGHAM FAA AP                      70321 TRADITIONAL  
USC00502568  63.6772 -144.6011  411.5 AK DRY CREEK                                    TRADITIONAL  
USC00502587  53.8950 -166.5433    3.0 AK DUTCH HARBOR                                 TRADITIONAL  
USC00502645  61.3192 -149.5436  172.8 AK EAGLE RVR GAKONA CIR                         PSEUDONORMALS
USC00502656  61.2967 -149.4400  151.8 AK EAGLE RIVER 5 SE                             PSEUDONORMALS
USC00502707  64.6667 -147.1000  166.7 AK EIELSON FLD                                  TRADITIONAL  
USC00502737  61.4494 -149.3231  195.1 AK EKLUTNA WTP                                  PSEUDONORMALS
USC00502785  58.1919 -136.3436    6.1 AK ELFIN COVE                                   TRADITIONAL  
USC00502868  64.8758 -148.0439  663.5 AK ESTER DOME                                   PSEUDONORMALS
USC00502871  64.9111 -147.9242  192.0 AK ESTER 5NE                                    PSEUDONORMALS
USC00502965  64.8172 -147.8739  130.1 AK FAIRBANKS AP #2                              TRADITIONAL  
USC00502970  64.8342 -147.7911  134.1 AK FAIRBANKS MIDTOWN                            PSEUDONORMALS
USC00503009  62.5422 -153.6206  323.1 AK FAREWELL LAKE                                TRADITIONAL  
USC00503160  65.0033 -147.3408  494.1 AK FT KNOX MINE                                 PSEUDONORMALS
USC00503163  61.2272 -149.6503  143.3 AK FT RICHARDSON WTP                            TRADITIONAL  
USC00503181  64.9592 -147.6261  236.2 AK FOX 2SE                                      PSEUDONORMALS
USC00503196  60.4822 -150.8056   83.8 AK FUNNY RIVER                                  PSEUDONORMALS
